Query Molecule,Canonicalization,Rank,Pubchem,Patent
Penicillin,OEChem,3,https://pubchem.ncbi.nlm.nih.gov/compound/53944004,https://pubchem.ncbi.nlm.nih.gov/patent/US-4077967-A
Penicillin,OEChem,4,https://pubchem.ncbi.nlm.nih.gov/compound/88832135,https://pubchem.ncbi.nlm.nih.gov/patent/US-3954731-A
Penicillin,OEChem,5,https://pubchem.ncbi.nlm.nih.gov/compound/20536617,https://patents.google.com/patent/US4333944A
Penicillin,OEChem,6,https://pubchem.ncbi.nlm.nih.gov/compound/88762822,n/a
Penicillin,OEChem,7,https://pubchem.ncbi.nlm.nih.gov/compound/88151512,https://patents.google.com/patent/EP1091959B1
Penicillin,OEChem,8,https://pubchem.ncbi.nlm.nih.gov/compound/59871148,n/a
Penicillin,OEChem,9,https://pubchem.ncbi.nlm.nih.gov/compound/101392657,n/a
Penicillin,OEChem,10,https://pubchem.ncbi.nlm.nih.gov/compound/17176746,n/a
Penicillin,OEChem,11,https://pubchem.ncbi.nlm.nih.gov/compound/10001910,n/a
Penicillin,OEChem,12,https://pubchem.ncbi.nlm.nih.gov/compound/72736793,n/a
Penicillin,OEChem,13,https://pubchem.ncbi.nlm.nih.gov/compound/67836365,https://pubchem.ncbi.nlm.nih.gov/patent/EP-0275888-A2#section=Abstract
Penicillin,OEChem,14,https://pubchem.ncbi.nlm.nih.gov/compound/59898268,https://patents.google.com/patent/US7173041B2/en
Penicillin,OEChem,15,https://pubchem.ncbi.nlm.nih.gov/compound/53877724,https://pubchem.ncbi.nlm.nih.gov/patent/US-4077967-A
Penicillin,OEChem,16,https://pubchem.ncbi.nlm.nih.gov/compound/88640462,https://pubchem.ncbi.nlm.nih.gov/patent/WO-8807534-A1
Penicillin,OEChem,17,https://pubchem.ncbi.nlm.nih.gov/compound/24811111,n/a
Penicillin,OEChem,18,https://pubchem.ncbi.nlm.nih.gov/compound/86733573,https://pubchem.ncbi.nlm.nih.gov/patent/US-3965111-A
Penicillin,OEChem,19,https://pubchem.ncbi.nlm.nih.gov/compound/58637593,n/a
Penicillin,OEChem,20,https://pubchem.ncbi.nlm.nih.gov/compound/20559367,https://pubchem.ncbi.nlm.nih.gov/patent/US-4304779-A
Nirmatrelvir,RDKit Atom 0,1,https://pubchem.ncbi.nlm.nih.gov/compound/89072452,https://pubchem.ncbi.nlm.nih.gov/patent/US-7192957-B2
Nirmatrelvir,RDKit Atom 0,2,https://pubchem.ncbi.nlm.nih.gov/compound/513166,Literature
Nirmatrelvir,RDKit Atom 0,3,https://pubchem.ncbi.nlm.nih.gov/compound/89032648,https://pubchem.ncbi.nlm.nih.gov/patent/US-7579320-B2
Nirmatrelvir,RDKit Atom 0,4,https://pubchem.ncbi.nlm.nih.gov/compound/88251520,https://pubchem.ncbi.nlm.nih.gov/patent/WO-2008141227-A1
Nirmatrelvir,RDKit Atom 0,5,https://pubchem.ncbi.nlm.nih.gov/compound/89128765,None
Nirmatrelvir,RDKit Atom 0,6,https://pubchem.ncbi.nlm.nih.gov/compound/89386569,None
Nirmatrelvir,RDKit Atom 0,7,https://pubchem.ncbi.nlm.nih.gov/compound/163831729,https://pubchem.ncbi.nlm.nih.gov/patent/WO-2006113942-A2
Nirmatrelvir,RDKit Atom 0,8,https://pubchem.ncbi.nlm.nih.gov/compound/58846078,https://pubchem.ncbi.nlm.nih.gov/patent/US-2006276406-A1
Nirmatrelvir,RDKit Atom 0,9,https://pubchem.ncbi.nlm.nih.gov/compound/10146053,None
Nirmatrelvir,RDKit Atom 0,10,https://pubchem.ncbi.nlm.nih.gov/compound/70672489,https://pubchem.ncbi.nlm.nih.gov/patent/US-8067379-B2
Nirmatrelvir,RDKit Atom 0,11,https://pubchem.ncbi.nlm.nih.gov/compound/49777413,Literature
Nirmatrelvir,RDKit Atom 0,12,https://pubchem.ncbi.nlm.nih.gov/compound/70332592,https://pubchem.ncbi.nlm.nih.gov/patent/US-7192957-B2
Nirmatrelvir,RDKit Atom 0,13,https://pubchem.ncbi.nlm.nih.gov/compound/58799854,https://pubchem.ncbi.nlm.nih.gov/patent/US-2006276406-A1
Nirmatrelvir,RDKit Atom 0,14,https://pubchem.ncbi.nlm.nih.gov/compound/11758272,https://pubchem.ncbi.nlm.nih.gov/patent/US-2006276405-A1
